"","rec","Part","Task","RT","Acc","Cond"
"183",183,1,"Posner","1.03580000000079",1,"valid"
"184",184,1,"Posner","0.518199999999297",1,"invalid"
"185",185,1,"Posner","0.686699999999064",1,"neutral"
"186",186,1,"Posner","0.486800000000812",1,"invalid"
"187",187,1,"Posner","0.318300000000818",1,"valid"
"188",188,1,"Posner","0.686599999999771",1,"valid"
"189",189,1,"Posner","0.551999999999907",1,"invalid"
"190",190,1,"Posner","0.668900000000576",1,"valid"
"191",191,1,"Posner","0.60340000000042",1,"neutral"
"192",192,1,"Posner","0.352599999999484",1,"valid"
"193",193,1,"Posner","0.501599999999826",1,"valid"
"194",194,1,"Posner","0.433899999998403",1,"neutral"
"195",195,1,"Posner","0.735999999999876",1,"invalid"
"196",196,1,"Posner","0.352799999998979",1,"valid"
"197",197,1,"Posner","1.05590000000052",1,"valid"
"198",198,1,"Posner","0.785600000001523",1,"invalid"
"199",199,1,"Posner","0.721400000000358",1,"valid"
"200",200,1,"Posner","0.318799999998873",1,"neutral"
"201",201,1,"Posner","1.15379999999868",1,"invalid"
"202",202,1,"Posner","0.619099999999662",1,"valid"
"203",203,1,"Posner","0.753700000001118",1,"valid"
"204",204,1,"Posner","0.786800000000767",1,"neutral"
"205",205,1,"Posner","0.584900000000516",1,"invalid"
"206",206,1,"Posner","0.719799999998713",1,"neutral"
"207",207,1,"Posner","0.669199999999137",1,"valid"
"208",208,1,"Posner","0.652500000000146",1,"valid"
"209",209,1,"Posner","0.483699999999317",1,"valid"
"210",210,1,"Posner","0.384899999998652",1,"invalid"
"211",211,1,"Posner","0.66889999999853",1,"valid"
"212",212,1,"Posner","0.818599999999606",1,"neutral"
"213",213,1,"Posner","0.821400000000267",1,"invalid"
"214",214,1,"Posner","0.886299999998755",1,"valid"
"215",215,1,"Posner","0.618700000001127",1,"neutral"
"216",216,1,"Posner","0.352300000000923",1,"valid"
"217",217,2,"Stroop","2.3532",1,"0"
"218",218,2,"Stroop","1.3838",0,"0"
"219",219,2,"Stroop","1.8455",1,"0"
"220",220,2,"Stroop","1.0173",1,"1"
"221",221,2,"Stroop","0.8470",1,"0"
"222",222,2,"Stroop","1.8972",1,"0"
"223",223,2,"Stroop","1.2513",1,"0"
"224",224,2,"Stroop","1.3879",1,"1"
"225",225,2,"Stroop","1.3747",1,"0"
"226",226,2,"Stroop","0.8549",1,"1"
"227",227,2,"Stroop","0.7464",1,"0"
"228",228,2,"Stroop","0.6317",1,"1"
"229",229,2,"Stroop","1.5040",1,"0"
"230",230,2,"Stroop","1.3765",1,"0"
"231",231,2,"Stroop","1.3512",1,"0"
"232",232,2,"Stroop","1.1971",0,"0"
"233",233,2,"Stroop","1.0466",1,"0"
"234",234,2,"Stroop","1.0240",0,"0"
"235",235,2,"Stroop","0.6359",1,"0"
"236",236,2,"Stroop","0.9149",1,"0"
"237",237,2,"Stroop","1.2661",1,"0"
"238",238,2,"Stroop","0.6027",1,"1"
"239",239,2,"Stroop","0.8276",1,"0"
"240",240,2,"Stroop","1.4130",1,"1"
"241",241,2,"Stroop","1.2815",1,"0"
"242",242,2,"Stroop","1.1930",1,"0"
"243",243,2,"Stroop","1.3022",1,"0"
"244",244,2,"Stroop","0.6451",1,"1"
"245",245,2,"Stroop","1.1943",1,"0"
"246",246,2,"Stroop","0.7985",1,"1"
"247",247,2,"Stroop","1.2803",1,"0"
"248",248,2,"Stroop","0.8839",1,"0"
"249",249,2,"Stroop","1.8907",1,"0"
"250",250,2,"Stroop","0.7939",1,"0"
"251",251,2,"Stroop","1.1993",1,"0"
"252",252,2,"Stroop","1.6355",0,"0"
"253",253,2,"Stroop","0.9263",1,"0"
"254",254,2,"Stroop","1.2839",1,"0"
"255",255,2,"Stroop","0.6547",1,"1"
"256",256,2,"Stroop","1.0740",1,"1"
"257",257,2,"Stroop","1.0757",1,"0"
"258",258,2,"Stroop","1.4575",1,"0"
"259",259,2,"Stroop","1.7002",1,"1"
"260",260,2,"Stroop","0.7728",1,"0"
"261",261,2,"Stroop","1.0668",1,"1"
"262",262,2,"Stroop","0.7785",1,"0"
"263",263,2,"Stroop","1.0670",1,"0"
"264",264,2,"Stroop","1.1205",1,"0"
"265",265,2,"Stroop","0.7137",1,"0"
"266",266,2,"Stroop","0.9979",1,"0"
"267",267,2,"Stroop","0.7381",1,"1"
"268",268,2,"Stroop","0.4645",1,"0"
"269",269,2,"Stroop","0.6260",0,"0"
"270",270,2,"Stroop","1.3157",1,"0"
"271",271,2,"Stroop","2.0846",1,"1"
"272",272,2,"Stroop","0.8332",1,"0"
"273",273,2,"Stroop","0.6668",1,"0"
"274",274,2,"Stroop","1.0341",1,"1"
"275",275,2,"Stroop","0.6635",1,"0"
"276",276,2,"Stroop","1.1081",1,"1"
"277",277,2,"Stroop","0.6057",1,"0"
"278",278,2,"Stroop","0.9248",1,"0"
"279",279,2,"Stroop","1.6074",1,"0"
"280",280,2,"Stroop","1.3609",1,"0"
"281",281,2,"Stroop","2.0003",0,"0"
"282",282,2,"Stroop","0.8996",1,"0"
"283",283,2,"Stroop","0.7418",1,"0"
"284",284,2,"Stroop","0.9285",1,"0"
"285",285,2,"Stroop","0.5730",1,"0"
"286",286,2,"Stroop","0.5646",1,"1"
"287",287,2,"Stroop","0.6550",1,"0"
"288",288,2,"Stroop","0.7661",1,"1"
"289",289,2,"Stroop","0.7350",1,"0"
"290",290,2,"Stroop","0.5714",1,"0"
"291",291,2,"Stroop","0.6059",1,"1"
"292",292,2,"Stroop","0.5347",1,"0"
"293",293,2,"Stroop","0.8335",1,"0"
"294",294,2,"Stroop","0.6168",1,"0"
"295",295,2,"Stroop","0.6048",1,"0"
"296",296,2,"Stroop","0.6255",1,"1"
"297",297,2,"Stroop","0.8324",1,"1"
"298",298,2,"Stroop","0.7495",1,"1"
"299",299,2,"Stroop","0.7677",1,"0"
"300",300,2,"Stroop","0.7891",1,"0"
"301",301,2,"Stroop","0.7951",1,"1"
"302",302,2,"Stroop","0.5547",1,"0"
"303",303,2,"Stroop","0.4543",1,"0"
"304",304,2,"Stroop","0.8454",1,"0"
"305",305,2,"Stroop","0.7016",1,"0"
"306",306,2,"Stroop","1.4435",1,"0"
"307",307,2,"Stroop","0.9685",1,"0"
"308",308,2,"Stroop","0.7052",0,"0"
"309",309,2,"Stroop","1.1521",1,"0"
"310",310,2,"Stroop","0.9458",1,"0"
"311",311,2,"Stroop","0.4429",1,"0"
"312",312,2,"Stroop","0.8765",1,"1"
"313",313,2,"Posner","0.471000000000004",1,"valid"
"314",314,2,"Posner","0.75159999990467",1,"invalid"
"315",315,2,"Posner","0.432500000000005",1,"valid"
"316",316,2,"Posner","0.51020000028609",1,"neutral"
"317",317,2,"Posner","0.318800000190777",1,"valid"
"318",318,2,"Posner","0.3803000001908",1,"valid"
"319",319,2,"Posner","0.522199999809231",1,"invalid"
"320",320,2,"Posner","0.444300000190651",1,"neutral"
"321",321,2,"Posner","0.766300000190654",1,"invalid"
"322",322,2,"Posner","0.509400000095411",1,"valid"
"323",323,2,"Posner","0.716499999999996",1,"neutral"
"324",324,2,"Posner","0.510899999618573",1,"invalid"
"325",325,2,"Posner","0.565099999904646",1,"valid"
"326",326,2,"Posner","0.414199999809284",1,"valid"
"327",327,2,"Posner","0.742699999809247",1,"valid"
"328",328,2,"Posner","0.752399999618547",1,"neutral"
"329",329,2,"Posner","0.449400000095466",1,"valid"
"330",330,2,"Posner","0.571300000190718",1,"invalid"
"331",331,2,"Posner","0.569300000190651",1,"neutral"
